LAMMPS data file. msi2lmp v3.9.8 / 06 Oct 2016 / CGCMM for Fe_exp46x1x80_12-1_-111_101

   2358 atoms

   4 atom types

  -161.428530475   160.262969525 xlo xhi
    -0.412081227     4.532918773 ylo yhi
  -164.026698502   158.979701498 zlo zhi

Masses

   1  26.982000 # Fe
   2  58.710000 # 
   3  26.982000 # 
   4  58.710000 # 

Atoms # full

  16815    3    -12.821043602     5.028618005   -39.871110917  # 
  16817    3    -10.489945864     1.753139802   -39.871110917  # 
  16818    3     -8.158848125     3.423284053   -39.871110917  # 
  16821    3    -12.821043602     2.556115477   -39.871110917  # 
  16823    3    -10.489945864     4.225642330   -39.871110917  # 
  16824    3     -8.158848125     5.895786580   -39.871110917  # 
  16827    3     -5.827750387     5.093933922   -39.871110917  # 
  16828    3     -2.331103779     5.129171247   -41.889900778  # 
  16829    3     -3.496652648     1.819954471   -39.871110917  # 
  16830    3     -1.165554909     3.491211645   -39.871110917  # 
  16833    3     -5.827750387     2.621431394   -39.871110917  # 
  16834    3     -2.331103779     2.656668719   -41.889900778  # 
  16835    3     -3.496652648     4.292456999   -39.871110917  # 
  16836    3     -1.165554909     5.963714172   -39.871110917  # 
  16837    3     -0.000006040     1.854376829   -41.889900778  # 
  16838    3      2.331091698     3.524587466   -41.889900778  # 
  16839    3      1.165542829     5.162547062   -39.871110917  # 
  16841    3      3.496640568     1.888799182   -39.871110917  # 
  16842    3      5.827738306     3.559824788   -39.871110917  # 
  16843    3     -0.000006040     4.326879357   -41.889900778  # 
  16844    3      2.331091698     5.997089993   -41.889900778  # 
  16845    3      1.165542829     2.690044534   -39.871110917  # 
  16847    3      3.496640568     4.361301710   -39.871110917  # 
  16848    3      5.827738306     6.032327315   -39.871110917  # 
  16851    3      8.158836045     5.230474659   -39.871110917  # 
  16853    3     10.489933783     1.955613857   -39.871110917  # 
  16854    3     12.821031522     3.625140714   -39.871110917  # 
  16857    3      8.158836045     2.757972131   -39.871110917  # 
  16859    3     10.489933783     4.428116385   -39.871110917  # 
  16860    3     12.821031522     6.097643241   -39.871110917  # 
  17355    3    -19.814336818     4.952280880   -35.833531197  # 
  17356    3    -16.317690210     4.990881602   -37.852321057  # 
  17357    3    -17.483239079     1.675753515   -35.833531197  # 
  17358    3    -15.152141341     3.345289174   -35.833531197  # 
  17361    3    -19.814336818     2.479778352   -35.833531197  # 
  17362    3    -16.317690210     2.518379074   -37.852321057  # 
  17363    3    -17.483239079     4.148256043   -35.833531197  # 
  17364    3    -15.152141341     5.817791701   -35.833531197  # 
  17365    3    -13.986592471     1.715096116   -37.852321057  # 
  17366    3    -11.655494733     3.385167368   -37.852321057  # 
  17367    1    -12.821043602     5.015835821   -35.833531197  # Fe
  17368    3     -9.324396994     5.056003224   -37.852321057  # 
